City,Country,Longitude,Latitude,Humidity,Cloudiness,Max_Temp,Wind_Speed,Date
Mirny,RU,113.96,62.54,83,100,-20.0,6.0,"(2020, 2, 10)"
Trairi,BR,-39.27,-3.28,95,100,23.29,1.04,"(2020, 2, 10)"
Belaya Gora,RU,146.42,68.53,77,0,-32.64,0.67,"(2020, 2, 10)"
Yarega,RU,53.58,63.44,91,100,-1.33,5.24,"(2020, 2, 10)"
Saldanha,ZA,17.94,-33.01,87,0,16.0,2.6,"(2020, 2, 10)"
Hasaki,JP,140.83,35.73,33,20,11.11,4.1,"(2020, 2, 10)"
Thinadhoo,MV,72.93,0.53,82,13,27.82,7.14,"(2020, 2, 10)"
San Rafael,AR,-68.33,-34.62,51,84,22.62,6.95,"(2020, 2, 10)"
Paamiut,GL,-49.67,61.99,60,99,-16.15,3.83,"(2020, 2, 10)"
Safranbolu,TR,32.69,41.25,78,86,-8.18,3.64,"(2020, 2, 10)"
Nome,US,-165.41,64.5,68,1,-27.0,1.5,"(2020, 2, 10)"
Avera,US,-82.53,33.19,100,90,18.33,2.92,"(2020, 2, 10)"
Plettenberg Bay,ZA,23.37,-34.05,83,16,19.77,1.07,"(2020, 2, 10)"
Bontang,ID,117.5,0.13,66,100,27.91,4.1,"(2020, 2, 10)"
Hongjiang,CN,110.0,27.11,83,85,13.83,1.24,"(2020, 2, 10)"
Neiafu,TO,-173.98,-18.65,83,75,28.0,3.6,"(2020, 2, 10)"
East London,ZA,27.91,-33.02,88,20,17.0,2.1,"(2020, 2, 10)"
Broome,US,-75.83,42.25,98,90,2.22,2.1,"(2020, 2, 10)"
Moose Factory,CA,-80.61,51.26,73,90,-5.0,6.2,"(2020, 2, 10)"
Kieta,PG,155.63,-6.22,77,99,28.56,5.54,"(2020, 2, 10)"
Chui,UY,-53.46,-33.7,82,0,16.95,1.82,"(2020, 2, 10)"
Balsas,BR,-46.04,-7.53,93,100,23.59,0.91,"(2020, 2, 10)"
Lavrentiya,RU,-171.0,65.58,99,8,-28.43,1.53,"(2020, 2, 10)"
Srednekolymsk,RU,153.68,67.45,50,18,-25.89,1.08,"(2020, 2, 10)"
Lloydminster,CA,-110.0,53.28,67,75,-5.0,6.7,"(2020, 2, 10)"
Saravena,CO,-71.88,6.95,67,1,22.66,2.2,"(2020, 2, 10)"
Pangody,RU,74.49,65.85,94,100,-14.34,5.25,"(2020, 2, 10)"
Ambon,ID,128.18,-3.7,55,40,33.0,3.6,"(2020, 2, 10)"
Arvin,US,-118.83,35.21,22,1,12.0,5.7,"(2020, 2, 10)"
Allapalli,IN,80.07,19.42,46,0,22.18,0.93,"(2020, 2, 10)"
Sola,VU,167.55,-13.88,66,75,33.0,1.5,"(2020, 2, 10)"
Show Low,US,-110.03,34.25,92,90,5.0,0.57,"(2020, 2, 10)"
Jertih,MY,102.49,5.73,74,20,29.0,7.2,"(2020, 2, 10)"
La Tuque,CA,-72.78,47.43,90,100,-6.86,0.82,"(2020, 2, 10)"
Souillac,MU,57.52,-20.52,88,75,27.78,5.7,"(2020, 2, 10)"
Upernavik,GL,-56.15,72.79,91,100,-20.29,2.64,"(2020, 2, 10)"
Bonfim,BR,-59.95,3.08,46,61,28.49,5.49,"(2020, 2, 10)"
Paita,PE,-81.11,-5.09,73,12,24.74,5.82,"(2020, 2, 10)"
Bukachacha,RU,116.92,52.98,87,100,-10.13,1.33,"(2020, 2, 10)"
Gulu,UG,32.3,2.77,41,6,22.68,1.0,"(2020, 2, 10)"
Praia Grande,BR,-46.4,-24.01,93,90,20.56,4.6,"(2020, 2, 10)"
Pag,HR,15.06,44.45,93,20,11.0,4.1,"(2020, 2, 10)"
Deputatsky,RU,139.9,69.3,70,0,-36.21,0.83,"(2020, 2, 10)"
Urumqi,CN,87.6,43.8,79,93,-6.0,1.0,"(2020, 2, 10)"
Qui Nhon,VN,109.23,13.77,75,63,24.74,3.08,"(2020, 2, 10)"
Haines Junction,CA,-137.51,60.75,95,100,-9.21,3.67,"(2020, 2, 10)"
Iquique,CL,-70.14,-20.22,64,1,21.0,5.1,"(2020, 2, 10)"
Beringovskiy,RU,179.32,63.05,90,100,-16.94,6.42,"(2020, 2, 10)"
Auka,HN,-83.83,14.93,92,0,22.3,1.78,"(2020, 2, 10)"
Saint-Paul,RE,55.27,-21.01,69,78,27.0,0.5,"(2020, 2, 10)"
Basoko,CD,23.62,1.24,50,67,20.55,1.09,"(2020, 2, 10)"
Yaring,TH,101.37,6.87,83,75,27.0,6.2,"(2020, 2, 10)"
Beloha,MG,45.05,-25.17,94,0,18.81,2.69,"(2020, 2, 10)"
Esperance,AU,121.9,-33.87,64,75,20.0,6.2,"(2020, 2, 10)"
Raudeberg,NO,5.14,61.99,86,100,5.0,9.3,"(2020, 2, 10)"
Goderich,CA,-81.72,43.75,88,33,-1.11,0.87,"(2020, 2, 10)"
Sibolga,ID,98.78,1.74,61,14,29.83,0.3,"(2020, 2, 10)"
Khanu Woralaksaburi,TH,99.86,16.06,38,97,30.33,3.73,"(2020, 2, 10)"
Ziyang,CN,117.85,29.25,94,100,9.67,1.67,"(2020, 2, 10)"
Worcester,US,-71.83,42.33,93,75,6.11,5.1,"(2020, 2, 10)"
Sur,OM,59.53,22.57,73,43,18.63,4.03,"(2020, 2, 10)"
Paranaiba,BR,-51.19,-19.68,84,100,22.9,3.59,"(2020, 2, 10)"
Rantauprapat,ID,99.83,2.1,90,77,26.77,1.46,"(2020, 2, 10)"
Kovdor,RU,30.48,67.57,97,100,0.37,5.08,"(2020, 2, 10)"
Khovd,MN,91.64,48.01,55,2,-3.63,2.92,"(2020, 2, 10)"
Novoagansk,RU,76.66,61.94,92,100,-14.41,6.01,"(2020, 2, 10)"
Sembe,CG,14.58,1.65,78,66,21.41,1.21,"(2020, 2, 10)"
Waverley,ZA,28.26,-25.7,72,54,17.0,4.1,"(2020, 2, 10)"
Port Hedland,AU,118.57,-20.32,59,40,32.0,5.7,"(2020, 2, 10)"
Caravelas,BR,-39.25,-17.71,87,85,27.08,7.33,"(2020, 2, 10)"
Margate,GB,1.39,51.38,64,0,5.0,11.8,"(2020, 2, 10)"
Los Llanos de Aridane,ES,-17.92,28.66,72,40,18.0,4.1,"(2020, 2, 10)"
Sumbe,AO,13.84,-11.21,86,100,23.45,0.86,"(2020, 2, 10)"
Oodweyne,SO,45.06,9.41,49,0,18.62,1.65,"(2020, 2, 10)"
Faya,SA,42.45,18.39,87,40,13.0,4.1,"(2020, 2, 10)"
Korba,IN,82.68,22.35,40,0,15.54,2.03,"(2020, 2, 10)"
Sinop,TR,34.87,41.77,50,100,0.55,2.16,"(2020, 2, 10)"
Troitskoye,RU,84.68,52.98,95,1,-18.61,2.24,"(2020, 2, 10)"
Amga,RU,131.96,60.9,95,100,-15.95,3.81,"(2020, 2, 10)"
San Jeronimo,PE,-75.28,-11.95,87,100,7.4,1.64,"(2020, 2, 10)"
Mossendjo,CG,12.73,-2.95,99,100,21.86,0.22,"(2020, 2, 10)"
Salina,US,-97.61,38.84,59,90,3.0,2.17,"(2020, 2, 10)"
Eirunepe,BR,-69.87,-6.66,88,100,23.78,0.37,"(2020, 2, 10)"
Xunchang,CN,104.72,28.45,61,24,14.45,0.85,"(2020, 2, 10)"
Weyburn,CA,-103.85,49.67,83,51,-7.22,6.26,"(2020, 2, 10)"
Sergeevka,KZ,67.42,53.88,92,100,-16.96,6.43,"(2020, 2, 10)"
Waseca,US,-93.51,44.08,85,1,-5.0,4.1,"(2020, 2, 10)"
Bantry,IE,-9.45,51.68,80,40,2.0,5.1,"(2020, 2, 10)"
Ninghai,CN,121.42,29.29,93,75,14.44,1.0,"(2020, 2, 10)"
Mugango,TZ,33.7,-1.68,88,20,20.0,3.95,"(2020, 2, 10)"
Kodinsk,RU,99.18,58.69,89,0,-19.29,3.83,"(2020, 2, 10)"
Ozernovskiy,RU,156.52,51.5,73,100,-7.7,4.28,"(2020, 2, 10)"
Necochea,AR,-58.74,-38.55,95,6,12.78,1.79,"(2020, 2, 10)"
Aksarka,RU,67.8,66.56,94,100,-10.28,5.49,"(2020, 2, 10)"
Aktau,KZ,51.2,43.65,84,0,-14.0,5.0,"(2020, 2, 10)"
Bani,DO,-70.33,18.28,100,0,25.0,2.72,"(2020, 2, 10)"
Viedma,AR,-63.0,-40.81,55,0,18.57,6.92,"(2020, 2, 10)"
Korla,CN,86.15,41.76,89,21,-1.67,1.87,"(2020, 2, 10)"
Gigmoto,PH,124.39,13.78,72,41,25.48,9.82,"(2020, 2, 10)"
Batagay,RU,134.63,67.63,78,100,-28.97,0.7,"(2020, 2, 10)"
Asau,RO,26.4,46.43,69,40,6.11,2.6,"(2020, 2, 10)"
Gizo,SB,156.84,-8.1,85,100,26.64,5.43,"(2020, 2, 10)"
Meadow Lake,US,-106.54,34.8,100,90,7.22,2.1,"(2020, 2, 10)"
Carballo,ES,-8.69,43.21,82,75,13.89,2.6,"(2020, 2, 10)"
Manika,PH,122.28,11.39,78,57,25.38,3.95,"(2020, 2, 10)"
Hofn,IS,-15.21,64.25,63,100,3.64,9.89,"(2020, 2, 10)"
Walvis Bay,NA,14.51,-22.96,93,90,16.67,4.6,"(2020, 2, 10)"
Ballina,AU,153.57,-28.87,94,24,28.0,4.1,"(2020, 2, 10)"
Pangnirtung,CA,-65.71,66.15,97,100,-33.25,0.97,"(2020, 2, 10)"
Broken Hill,AU,141.43,-31.95,28,0,30.0,6.2,"(2020, 2, 10)"
Qasigiannguit,GL,-51.19,68.82,54,0,-18.0,7.2,"(2020, 2, 10)"
Satellite Beach,US,-80.59,28.18,94,1,22.22,4.6,"(2020, 2, 10)"
Cobija,BO,-68.77,-11.03,94,100,22.85,0.52,"(2020, 2, 10)"
Salinas,US,-121.66,36.68,57,1,14.44,2.6,"(2020, 2, 10)"
Ordu,TR,37.68,40.91,57,0,-6.0,2.6,"(2020, 2, 10)"
Mayor Pablo Lagerenza,PY,-60.77,-19.93,79,67,25.82,3.93,"(2020, 2, 10)"
Yangi Marg`ilon,UZ,71.72,40.43,87,75,6.0,1.0,"(2020, 2, 10)"
Fairmont,US,-80.14,39.49,93,90,11.11,1.43,"(2020, 2, 10)"
Vangaindrano,MG,47.6,-23.35,87,58,20.86,0.71,"(2020, 2, 10)"
Deqing,CN,119.96,30.54,93,75,12.78,2.0,"(2020, 2, 10)"
Dunedin,NZ,170.5,-45.87,83,40,13.35,9.43,"(2020, 2, 10)"
Prieska,ZA,22.75,-29.66,40,0,21.45,3.48,"(2020, 2, 10)"
Luanda,AO,13.23,-8.84,83,40,25.0,1.5,"(2020, 2, 10)"
Port Macquarie,AU,152.92,-31.43,70,0,29.44,5.1,"(2020, 2, 10)"
Taicheng,CN,113.23,38.73,29,0,4.85,0.99,"(2020, 2, 10)"
Aswan,EG,32.91,24.09,66,0,6.3,4.98,"(2020, 2, 10)"
Saint-Augustin,CA,-58.65,51.23,96,100,-5.61,2.55,"(2020, 2, 10)"
Nalut,LY,10.85,30.33,32,100,9.23,1.22,"(2020, 2, 10)"
Remanso,BR,-42.08,-9.62,76,23,24.72,1.97,"(2020, 2, 10)"
Tura,IN,90.22,25.52,43,0,19.47,2.18,"(2020, 2, 10)"
Kavieng,PG,150.8,-2.57,78,100,28.7,6.56,"(2020, 2, 10)"
Shuangyang,CN,125.67,43.52,51,1,4.0,7.0,"(2020, 2, 10)"
Dahuk,IQ,42.99,36.87,49,36,-5.54,1.91,"(2020, 2, 10)"
Kudahuvadhoo,MV,72.89,2.67,75,6,27.72,8.54,"(2020, 2, 10)"
Steamboat Springs,US,-106.83,40.48,91,1,-9.0,2.1,"(2020, 2, 10)"
Kirovskiy,RU,133.51,45.09,78,0,-7.25,3.0,"(2020, 2, 10)"
Teliu,RO,25.86,45.7,78,68,2.78,0.89,"(2020, 2, 10)"
Evensk,RU,159.23,61.95,59,24,-17.93,5.28,"(2020, 2, 10)"
Yola,NG,12.48,9.2,21,41,19.66,1.05,"(2020, 2, 10)"
Pervomayskoye,RU,46.71,43.92,87,0,-9.83,1.89,"(2020, 2, 10)"
Hisar,IN,75.72,29.17,46,37,13.29,2.24,"(2020, 2, 10)"
Port-Gentil,GA,8.78,-0.72,77,41,28.26,4.45,"(2020, 2, 10)"
Monywa,MM,95.13,22.12,51,0,22.92,3.7,"(2020, 2, 10)"
Sabha,LY,14.43,27.04,38,4,10.33,2.03,"(2020, 2, 10)"
Manggar,ID,108.27,-2.88,74,59,28.06,2.38,"(2020, 2, 10)"
Gamba,GA,10.0,-2.65,85,96,25.54,1.12,"(2020, 2, 10)"
Meybod,IR,54.02,32.25,25,0,5.0,1.0,"(2020, 2, 10)"
Ferrol,ES,-8.24,43.48,82,75,13.89,2.6,"(2020, 2, 10)"
Skjervoy,NO,20.97,70.03,96,100,0.58,7.29,"(2020, 2, 10)"
Nemuro,JP,145.57,43.32,50,20,-2.0,1.5,"(2020, 2, 10)"
Kahului,US,-156.47,20.89,77,75,21.0,3.6,"(2020, 2, 10)"
Fairbanks,US,-147.72,64.84,76,90,-20.0,3.6,"(2020, 2, 10)"
San Cristobal,VE,-72.22,7.77,48,40,29.0,5.7,"(2020, 2, 10)"
Parauna,BR,-50.45,-16.95,96,61,19.24,2.29,"(2020, 2, 10)"
Attert,BE,5.79,49.75,78,75,4.44,10.3,"(2020, 2, 10)"
Saint-Francois,FR,3.91,46.42,61,75,10.0,7.7,"(2020, 2, 10)"
Iqaluit,CA,-68.51,63.75,66,5,-33.89,4.1,"(2020, 2, 10)"
Turukhansk,RU,87.98,65.82,94,100,-25.99,3.86,"(2020, 2, 10)"
Port Augusta,AU,137.77,-32.5,51,0,31.11,6.7,"(2020, 2, 10)"
Baiyin,CN,104.21,36.56,22,0,2.0,3.0,"(2020, 2, 10)"
Qaqortoq,GL,-46.03,60.72,66,29,-10.0,2.1,"(2020, 2, 10)"
Natal,BR,-35.21,-5.79,78,20,28.0,3.6,"(2020, 2, 10)"
Aldan,RU,125.39,58.6,86,100,-12.71,6.75,"(2020, 2, 10)"
Solnechnyy,RU,136.63,50.72,90,96,-13.8,2.51,"(2020, 2, 10)"
Yulara,AU,130.99,-25.24,13,2,39.0,7.7,"(2020, 2, 10)"
Half Moon Bay,US,-122.43,37.46,62,5,16.11,2.1,"(2020, 2, 10)"
Songyang,CN,113.03,34.46,55,26,10.73,0.42,"(2020, 2, 10)"
Chapais,CA,-74.85,49.78,77,1,-17.0,2.1,"(2020, 2, 10)"
Ca Mau,VN,105.15,9.18,52,24,31.27,7.12,"(2020, 2, 10)"
Sanmenxia,CN,111.18,34.77,37,63,11.65,0.07,"(2020, 2, 10)"
Nazarovo,RU,90.39,56.01,93,0,-21.64,1.91,"(2020, 2, 10)"
Fortuna,US,-124.16,40.6,93,1,9.0,0.64,"(2020, 2, 10)"
Pinega,RU,43.39,64.7,90,100,0.01,7.13,"(2020, 2, 10)"
The Pas,CA,-101.25,53.83,73,20,-7.0,5.7,"(2020, 2, 10)"
Bariloche,AR,-71.31,-41.15,52,40,20.0,1.7,"(2020, 2, 10)"
Iwanai,JP,140.51,42.97,73,100,-3.36,3.96,"(2020, 2, 10)"
Oksfjord,NO,22.35,70.24,92,100,0.0,3.6,"(2020, 2, 10)"
Teavaro,PF,-149.77,-17.5,62,20,31.0,2.1,"(2020, 2, 10)"
Dzerzhinsk,RU,43.46,56.24,79,75,-5.0,9.0,"(2020, 2, 10)"
Kirakira,SB,161.92,-10.45,73,100,29.28,6.2,"(2020, 2, 10)"
Bagdarin,RU,113.6,54.43,70,72,-3.58,2.7,"(2020, 2, 10)"
Kastamonu,TR,33.67,41.5,82,100,-9.78,1.49,"(2020, 2, 10)"
Kungurtug,RU,97.52,50.6,73,100,-6.66,1.78,"(2020, 2, 10)"
Santiago de Cuba,CU,-75.82,20.02,83,20,24.0,2.1,"(2020, 2, 10)"
Mocuba,MZ,36.99,-16.84,96,99,22.71,1.44,"(2020, 2, 10)"
College,US,-147.8,64.86,76,90,-19.0,3.6,"(2020, 2, 10)"
Sitka,US,-135.33,57.05,93,90,5.0,7.7,"(2020, 2, 10)"
La Ronge,CA,-105.28,55.1,63,40,-3.0,5.7,"(2020, 2, 10)"
Basco,PH,121.97,20.45,72,72,22.36,9.45,"(2020, 2, 10)"
Quatre Cocos,MU,57.76,-20.21,88,75,27.78,7.7,"(2020, 2, 10)"
Straumen,NO,11.3,63.87,88,40,4.44,5.7,"(2020, 2, 10)"
Yinchuan,CN,106.27,38.47,28,0,6.61,2.85,"(2020, 2, 10)"
Muskogee,US,-95.33,35.58,93,90,4.44,3.6,"(2020, 2, 10)"
Krasnosel'kup,RU,82.47,65.7,96,100,-22.46,5.64,"(2020, 2, 10)"
Xichang,CN,102.26,27.9,70,35,4.84,3.04,"(2020, 2, 10)"
Marsabit,KE,37.99,2.33,43,0,25.6,5.14,"(2020, 2, 10)"
Kampot,KH,104.18,10.62,58,20,31.0,4.6,"(2020, 2, 10)"
Kaeo,NZ,173.78,-35.1,56,0,26.67,5.36,"(2020, 2, 10)"
Kaohsiung,TW,120.31,22.62,53,75,23.0,3.1,"(2020, 2, 10)"
San Quintin,MX,-115.95,30.48,71,45,13.07,7.93,"(2020, 2, 10)"
Carupano,VE,-63.26,10.67,93,0,19.4,1.14,"(2020, 2, 10)"
Yuzhno-Sukhokumsk,RU,45.64,44.66,67,0,-5.46,3.83,"(2020, 2, 10)"
Gorontalo,ID,123.06,0.54,55,100,30.87,1.68,"(2020, 2, 10)"
Praia,CV,-23.51,14.92,64,0,21.0,6.2,"(2020, 2, 10)"
Buala,SB,159.59,-8.14,86,100,27.0,5.51,"(2020, 2, 10)"
Tilichiki,RU,166.1,60.47,82,100,-24.27,6.79,"(2020, 2, 10)"
Kiryat Gat,IL,34.76,31.61,87,40,7.78,1.5,"(2020, 2, 10)"
Talcahuano,CL,-73.12,-36.72,77,19,16.0,1.5,"(2020, 2, 10)"
Ghanzi,BW,21.78,-21.57,63,0,21.86,4.38,"(2020, 2, 10)"
Bukoba,TZ,31.81,-1.33,88,75,21.0,5.1,"(2020, 2, 10)"
Sept-Iles,CA,-66.38,50.2,85,90,-7.0,2.1,"(2020, 2, 10)"
Tamale,GH,-0.84,9.4,15,99,26.37,3.48,"(2020, 2, 10)"
Tommot,RU,126.29,58.96,87,97,-11.88,0.62,"(2020, 2, 10)"
Vardo,NO,31.11,70.37,93,75,2.0,4.6,"(2020, 2, 10)"
Kuytun,RU,101.5,54.34,83,100,-13.55,3.93,"(2020, 2, 10)"
Changde,CN,111.68,29.05,89,100,10.25,0.59,"(2020, 2, 10)"
Ivankiv,UA,29.89,50.94,86,100,4.0,7.0,"(2020, 2, 10)"
Alakurtti,RU,30.35,66.97,94,100,-1.67,3.58,"(2020, 2, 10)"
Felanitx,ES,3.15,39.47,100,40,16.67,2.47,"(2020, 2, 10)"
Abnub,EG,31.15,27.27,70,0,6.0,4.6,"(2020, 2, 10)"
Dwarka,IN,68.97,22.24,50,0,21.57,8.73,"(2020, 2, 10)"
Mecca,SA,39.83,21.43,61,17,14.72,1.92,"(2020, 2, 10)"
Wanning,CN,110.4,18.8,95,100,20.41,1.84,"(2020, 2, 10)"
Gravdal,NO,13.5,68.12,86,75,3.0,1.5,"(2020, 2, 10)"
Balteni,RO,27.62,46.67,86,40,6.11,4.1,"(2020, 2, 10)"
Rosarito,MX,-117.03,32.33,93,75,13.33,0.44,"(2020, 2, 10)"
Porto-Novo,BJ,2.6,6.5,94,40,27.0,1.5,"(2020, 2, 10)"
Aparecida do Taboado,BR,-51.09,-20.09,95,100,22.26,1.9,"(2020, 2, 10)"
Kozmodemyansk,RU,46.57,56.34,67,20,-8.0,7.0,"(2020, 2, 10)"
Vanimo,PG,141.3,-2.67,77,84,28.07,7.88,"(2020, 2, 10)"
Vung Tau,VN,107.08,10.35,53,56,30.09,6.0,"(2020, 2, 10)"
Tazovsky,RU,78.7,67.47,96,100,-19.34,6.35,"(2020, 2, 10)"
Atmakur,IN,78.58,15.88,70,90,23.18,3.82,"(2020, 2, 10)"
Makakilo City,US,-158.09,21.35,100,75,21.0,4.6,"(2020, 2, 10)"
Sovetskiy,RU,63.58,61.36,94,20,-12.46,4.05,"(2020, 2, 10)"
Atasu,KZ,71.64,48.68,97,10,-24.35,2.78,"(2020, 2, 10)"
San Patricio,MX,-104.7,19.22,81,0,25.39,5.69,"(2020, 2, 10)"
Matagami,CA,-77.63,49.75,92,90,-10.0,3.1,"(2020, 2, 10)"
Neuquen,AR,-68.06,-38.95,38,0,25.0,2.6,"(2020, 2, 10)"
Kloulklubed,PW,134.26,7.04,70,75,29.0,6.2,"(2020, 2, 10)"
Warmbad,NA,18.73,-28.45,36,0,22.08,1.95,"(2020, 2, 10)"
Lubao,PH,120.55,14.92,61,90,30.0,3.1,"(2020, 2, 10)"
Kandrian,PG,149.55,-6.22,79,94,28.4,4.93,"(2020, 2, 10)"
Esim,GH,-2.24,4.87,90,80,25.28,0.98,"(2020, 2, 10)"
Vysokogornyy,RU,139.15,50.12,89,100,-13.75,2.6,"(2020, 2, 10)"
Tulagi,SB,160.15,-9.1,79,90,31.0,6.2,"(2020, 2, 10)"
Maryville,US,-83.97,35.76,93,90,12.0,3.1,"(2020, 2, 10)"
Berbera,SO,45.01,10.44,73,7,24.83,1.34,"(2020, 2, 10)"
Caluquembe,AO,14.68,-13.78,92,100,16.06,4.05,"(2020, 2, 10)"
Lokosovo,RU,74.82,61.13,92,100,-14.44,4.97,"(2020, 2, 10)"
Raja,SS,25.68,8.46,22,0,15.25,2.66,"(2020, 2, 10)"
=======
Piaçabuçu,BR,-36.43,-10.41,80,51,81.80600000000001,2.86,"(2020, 3, 23)"
Port Elizabeth,ZA,25.57,-33.92,88,40,66.2,6.2,"(2020, 3, 23)"
Karatau,KZ,70.47,43.17,65,100,34.286,5.47,"(2020, 3, 23)"
George Town,MY,100.34,5.41,88,20,82.4,0.5,"(2020, 3, 23)"
Bredasdorp,ZA,20.04,-34.53,77,100,60.998000000000005,1.1,"(2020, 3, 23)"
Rikitea,PF,-134.97,-23.12,75,100,78.02600000000001,0.96,"(2020, 3, 23)"
Tual,ID,132.75,-5.67,75,100,80.54599999999999,0.47,"(2020, 3, 23)"
Nikolskoye,RU,30.79,59.7,63,0,26.6,3.0,"(2020, 3, 23)"
Chapais,CA,-74.85,49.78,88,75,32.0,10.3,"(2020, 3, 23)"
Prabumulih,ID,104.25,-3.45,98,100,73.886,1.0,"(2020, 3, 23)"
Hilo,US,-155.09,19.73,83,90,73.004,2.1,"(2020, 3, 23)"
Emba,KZ,58.14,48.83,76,1,32.846,4.77,"(2020, 3, 23)"
Nanortalik,GL,-45.24,60.14,55,0,27.266,19.11,"(2020, 3, 23)"
Barrow,US,-156.79,71.29,84,90,5.0,1.27,"(2020, 3, 23)"
Albany,US,-73.97,42.6,97,90,33.998,3.1,"(2020, 3, 23)"
Jamestown,US,-79.24,42.1,81,90,42.8,4.1,"(2020, 3, 23)"
Hermanus,ZA,19.23,-34.42,86,100,64.994,6.21,"(2020, 3, 23)"
Villanueva,HN,-88.0,15.32,52,20,89.99600000000001,7.7,"(2020, 3, 23)"
Castro,BR,-50.01,-24.79,65,35,67.586,2.64,"(2020, 3, 23)"
Aklavik,CA,-135.01,68.22,77,75,3.1999999999999993,2.6,"(2020, 3, 23)"
Hongjiang,CN,110.0,27.11,96,100,59.486000000000004,0.88,"(2020, 3, 23)"
Tomatlán,MX,-105.25,19.93,44,0,89.906,4.31,"(2020, 3, 23)"
Mataura,NZ,168.86,-46.19,89,100,48.992000000000004,4.92,"(2020, 3, 23)"
Padang,ID,100.35,-0.95,93,95,68.126,1.87,"(2020, 3, 23)"
Klaksvík,FO,-6.59,62.23,80,49,41.0,4.1,"(2020, 3, 23)"
Bengkulu,ID,102.27,-3.8,90,100,73.52600000000001,1.08,"(2020, 3, 23)"
Ginda,IN,78.49,30.69,50,100,50.666,2.36,"(2020, 3, 23)"
Yumen,CN,97.2,40.28,43,0,38.786,1.28,"(2020, 3, 23)"
Tasiilaq,GL,-37.64,65.61,86,76,26.6,2.63,"(2020, 3, 23)"
Mount Gambier,AU,140.77,-37.83,93,100,44.6,0.89,"(2020, 3, 23)"
Mahébourg,MU,57.7,-20.41,94,40,78.99799999999999,4.6,"(2020, 3, 23)"
Montego Bay,JM,-77.92,18.47,69,20,84.00200000000001,8.7,"(2020, 3, 23)"
Dikson,RU,80.55,73.51,94,100,26.906,7.7,"(2020, 3, 23)"
Kapaa,US,-159.32,22.08,69,90,75.2,9.3,"(2020, 3, 23)"
Pevek,RU,170.31,69.7,86,100,18.625999999999998,6.64,"(2020, 3, 23)"
Campos Novos,BR,-51.23,-27.4,55,36,72.626,2.47,"(2020, 3, 23)"
Newark,US,-74.17,40.74,93,90,44.006,4.1,"(2020, 3, 23)"
Khulo,GE,42.31,41.64,93,67,48.2,1.5,"(2020, 3, 23)"
Longyearbyen,SJ,15.64,78.22,84,40,6.800000000000001,6.2,"(2020, 3, 23)"
Mattru,SL,-11.83,7.62,81,100,78.926,1.1,"(2020, 3, 23)"
Wanning,CN,110.4,18.8,91,20,73.706,2.03,"(2020, 3, 23)"
Punta Arenas,CL,-70.92,-53.15,67,97,60.8,7.2,"(2020, 3, 23)"
Naze,JP,129.48,28.37,55,57,66.2,7.7,"(2020, 3, 23)"
Cayenne,GF,-52.33,4.93,78,10,80.6,4.6,"(2020, 3, 23)"
Grand-Santi,GF,-54.38,4.25,45,94,89.54599999999999,2.13,"(2020, 3, 23)"
Neiafu,TO,-173.98,-18.65,78,20,82.4,2.6,"(2020, 3, 23)"
Grindavik,IS,-22.43,63.84,78,75,35.6,20.1,"(2020, 3, 23)"
Sivaki,RU,126.75,52.63,88,0,17.906,3.7,"(2020, 3, 23)"
Coruripe,BR,-36.18,-10.13,78,54,83.24600000000001,4.07,"(2020, 3, 23)"
Vanimo,PG,141.3,-2.67,90,100,78.926,6.49,"(2020, 3, 23)"
Muş Province,TR,41.75,39.0,66,0,33.386,0.57,"(2020, 3, 23)"
Atambua,ID,124.89,-9.11,82,9,71.366,1.66,"(2020, 3, 23)"
Zhalantun,CN,122.72,48.0,51,0,28.706,0.79,"(2020, 3, 23)"
Alofi,NU,-169.92,-19.06,72,62,82.706,3.82,"(2020, 3, 23)"
Pangnirtung,CA,-65.71,66.15,84,90,6.800000000000001,0.71,"(2020, 3, 23)"
Makakilo City,US,-158.09,21.35,88,90,77.0,4.6,"(2020, 3, 23)"
Port-Cartier,CA,-66.87,50.03,58,90,26.996000000000002,4.1,"(2020, 3, 23)"
Ushuaia,AR,-68.3,-54.8,67,40,59.0,5.7,"(2020, 3, 23)"
Port Alfred,ZA,26.89,-33.59,95,97,66.992,1.34,"(2020, 3, 23)"
Tiksi,RU,128.87,71.69,99,100,-6.573999999999998,4.38,"(2020, 3, 23)"
Severomorsk,RU,33.42,69.07,64,95,37.4,5.0,"(2020, 3, 23)"
Hamilton,US,-84.53,39.18,58,90,55.004,4.1,"(2020, 3, 23)"
Salalah,OM,54.09,17.02,42,1,80.6,4.1,"(2020, 3, 23)"
Puerto Ayora,EC,-90.35,-0.74,74,20,84.2,6.2,"(2020, 3, 23)"
Guerrero Negro,MX,-114.06,27.98,56,100,68.30600000000001,8.48,"(2020, 3, 23)"
Constitución,CL,-72.42,-35.33,69,27,63.806000000000004,4.22,"(2020, 3, 23)"
Ola,RU,151.28,59.58,86,97,18.985999999999997,3.51,"(2020, 3, 23)"
Acurenam,GQ,10.65,1.03,99,100,69.74600000000001,1.15,"(2020, 3, 23)"
Noyabrsk,RU,75.45,63.2,93,100,12.866,8.06,"(2020, 3, 23)"
Dingle,PH,122.67,11.0,88,11,73.346,3.77,"(2020, 3, 23)"
Berlevåg,NO,29.09,70.86,69,100,37.4,14.4,"(2020, 3, 23)"
